lat;lng;STREET TYPOLOGY;NUMBER OF AMENITIES;MAIN CATEGORY
48.837702;2.311698;pedestrian;0;NEED
48.837683;2.311021;pedestrian;0;NEED
48.849155;2.281911;pedestrian;0;NEED
48.849399;2.282249;pedestrian;0;NEED
48.849642;2.282586;pedestrian;0;NEED
48.843755;2.278842;pedestrian;0;NEED
48.843961;2.278329;pedestrian;0;NEED
48.844167;2.277816;pedestrian;0;NEED
48.84311;2.275729;pedestrian;0;NEED
48.84275;2.275438;pedestrian;0;NEED
48.84239;2.275148;pedestrian;0;NEED
48.840335;2.27802;pedestrian;0;NEED
48.840404;2.278164;pedestrian;0;NEED
48.841867;2.279137;pedestrian;0;NEED
48.841559;2.27887;pedestrian;0;NEED
48.841238;2.278626;pedestrian;0;NEED
48.840926;2.27836;pedestrian;0;NEED
48.840883;2.277918;pedestrian;0;NEED
48.84447;2.277239;pedestrian;0;NEED
48.844337;2.277604;pedestrian;0;NEED
48.844159;2.277297;pedestrian;0;NEED
48.844816;2.278034;pedestrian;0;NEED
48.844768;2.277947;pedestrian;0;NEED
48.843429;2.278526;pedestrian;0;NEED
48.843096;2.278221;pedestrian;0;NEED
48.842762;2.277919;pedestrian;0;NEED
48.842427;2.277618;pedestrian;0;NEED
48.842112;2.278473;pedestrian;0;NEED
48.842497;2.278802;pedestrian;0;NEED
48.838884;2.28548;pedestrian;0;NEED
48.838578;2.285975;pedestrian;0;NEED
48.838271;2.28647;pedestrian;0;NEED
48.837964;2.286964;pedestrian;0;NEED
48.836502;2.289946;pedestrian;0;NEED
48.836501;2.289576;pedestrian;0;NEED
48.836054;2.293123;pedestrian;0;NEED
48.835934;2.293469;pedestrian;0;NEED
48.843021;2.388364;pedestrian;0;NEED
48.843169;2.388671;pedestrian;0;NEED
48.843318;2.388978;pedestrian;0;NEED
48.829354;2.302837;pedestrian;0;NEED
48.829175;2.303142;pedestrian;0;NEED
48.828996;2.303447;pedestrian;0;NEED
48.831008;2.304733;pedestrian;0;NEED
48.830779;2.305062;pedestrian;0;NEED
48.83423;2.306884;pedestrian;0;NEED
48.833964;2.306731;pedestrian;0;NEED
48.832667;2.30821;pedestrian;0;NEED
48.83285;2.307763;pedestrian;0;NEED
48.832666;2.307432;pedestrian;0;NEED
48.832379;2.307133;pedestrian;0;NEED
48.836571;2.301036;pedestrian;0;NEED
48.836273;2.30091;pedestrian;0;NEED
48.835974;2.300783;pedestrian;0;NEED
48.86534;2.321563;pedestrian;0;NEED
48.865231;2.321897;pedestrian;0;NEED
48.866276;2.389671;pedestrian;0;NEED
48.866215;2.389163;pedestrian;0;NEED
48.849298;2.293165;pedestrian;0;NEED
48.849113;2.293683;pedestrian;0;NEED
48.848927;2.294201;pedestrian;0;NEED
48.865778;2.394311;pedestrian;0;NEED
48.865641;2.393812;pedestrian;0;NEED
48.865544;2.393294;pedestrian;0;NEED
48.849294;2.381067;pedestrian;0;NEED
48.849331;2.380583;pedestrian;0;NEED
48.849368;2.380098;pedestrian;0;NEED
48.849406;2.379614;pedestrian;0;NEED
48.857055;2.294094;pedestrian;0;NEED
48.857362;2.294544;pedestrian;0;NEED
48.857669;2.294994;pedestrian;0;NEED
48.857976;2.295443;pedestrian;0;NEED
48.858283;2.295894;pedestrian;0;NEED
48.858589;2.296345;pedestrian;0;NEED
48.857028;2.294054;pedestrian;0;NEED
48.856742;2.294526;pedestrian;0;NEED
48.856446;2.294984;pedestrian;0;NEED
48.856149;2.295442;pedestrian;0;NEED
48.855853;2.2959;pedestrian;0;NEED
48.855554;2.296355;pedestrian;0;NEED
48.855259;2.296816;pedestrian;0;NEED
48.854964;2.297275;pedestrian;0;NEED
48.854666;2.297731;pedestrian;0;NEED
48.85437;2.298189;pedestrian;0;NEED
48.854073;2.298648;pedestrian;0;NEED
48.853777;2.299106;pedestrian;0;NEED
48.85348;2.299563;pedestrian;0;NEED
48.853183;2.300021;pedestrian;0;NEED
48.852886;2.300478;pedestrian;0;NEED
48.852589;2.300936;pedestrian;0;NEED
48.852292;2.301393;pedestrian;0;NEED
48.85784;2.291736;pedestrian;0;NEED
48.85755;2.292191;pedestrian;0;NEED
48.85726;2.292647;pedestrian;0;NEED
48.856971;2.293104;pedestrian;0;NEED
